full_name,tag_slug
Agus Bejo,iot
Agus Bejo,nlp
Agus Bejo,computer-vision
Azkario Rizky Pratama,machine-learning
Azkario Rizky Pratama,deep-learning
Azkario Rizky Pratama,cybersecurity
Azkario Rizky Pratama,human-computer-interaction
Azkario Rizky Pratama,nlp
Azkario Rizky Pratama,context-aware-computing
Anugerah Galang Persada,machine-learning
Anugerah Galang Persada,artificial-intelligence
Anugerah Galang Persada,immersive-technology
Anugerah Galang Persada,ux
Anugerah Galang Persada,automation
Anugerah Galang Persada,deep-learning
Ahmad Nasikun,immersive-technology
Ahmad Nasikun,ux
Ahmad Nasikun,human-computer-interaction
Ahmad Nasikun,deep-learning
Ahmad Nasikun,e-learning
Ahmad Nasikun,software-engineering
Dyonisius Dony Ariananda,machine-learning
Dyonisius Dony Ariananda,deep-learning
Dyonisius Dony Ariananda,artificial-intelligence
Dyonisius Dony Ariananda,data-mining
Dyonisius Dony Ariananda,computer-networks
Dyonisius Dony Ariananda,automation
Guntur Dharma Putra,blockchain
Guntur Dharma Putra,iot
Guntur Dharma Putra,cybersecurity
Guntur Dharma Putra,machine-learning
Guntur Dharma Putra,deep-learning
Guntur Dharma Putra,nlp
Muhammad Faris,nlp
Muhammad Faris,automation
Muhammad Faris,computer-vision
Muhammad Faris,artificial-intelligence
Muhammad Faris,iot
Muhammad Faris,machine-learning
Mochammad Wahyudi,deep-learning
Mochammad Wahyudi,machine-learning
Mochammad Wahyudi,iot
Mochammad Wahyudi,automation
Mochammad Wahyudi,computer-vision
Roni Irnawan,deep-learning
Roni Irnawan,automation
Roni Irnawan,machine-learning
Roni Irnawan,iot
Roni Irnawan,computer-networks
Roni Irnawan,artificial-intelligence
Dzuhri Radityo Utomo,deep-learning
Dzuhri Radityo Utomo,iot
Dzuhri Radityo Utomo,automation
Dzuhri Radityo Utomo,artificial-intelligence
Dzuhri Radityo Utomo,machine-learning
Dzuhri Radityo Utomo,computer-vision
Syukron Abu Ishaq Alfarozi,deep-learning
Syukron Abu Ishaq Alfarozi,machine-learning
Syukron Abu Ishaq Alfarozi,nlp
Syukron Abu Ishaq Alfarozi,e-learning
Syukron Abu Ishaq Alfarozi,computer-vision
Syukron Abu Ishaq Alfarozi,cybersecurity
Ahmad Ataka Awwalur Rizqi,automation
Ahmad Ataka Awwalur Rizqi,machine-learning
Ahmad Ataka Awwalur Rizqi,computer-vision
Ahmad Ataka Awwalur Rizqi,deep-learning
Ahmad Ataka Awwalur Rizqi,artificial-intelligence
Ahmad Ataka Awwalur Rizqi,nlp
Naufal Hilmi Fauzan,deep-learning
Naufal Hilmi Fauzan,iot
Yohan Fajar Sidik,deep-learning
Yohan Fajar Sidik,automation
Yohan Fajar Sidik,iot
Yohan Fajar Sidik,artificial-intelligence
Yohan Fajar Sidik,computer-networks
Yohan Fajar Sidik,machine-learning
Ridwan Wicaksono,deep-learning
Ridwan Wicaksono,data-mining
Ridwan Wicaksono,machine-learning
Ridwan Wicaksono,artificial-intelligence
Rian Fatah Mochamad,automation
Rian Fatah Mochamad,artificial-intelligence
Rian Fatah Mochamad,deep-learning
Wijaya Yudha Atmaja,computer-networks
Wijaya Yudha Atmaja,artificial-intelligence
Wijaya Yudha Atmaja,deep-learning
M. Aidiel Rachman Putra,machine-learning
M. Aidiel Rachman Putra,cybersecurity
M. Aidiel Rachman Putra,deep-learning
M. Aidiel Rachman Putra,iot
M. Aidiel Rachman Putra,data-mining
M. Aidiel Rachman Putra,computer-networks
