row_ref,full_name,academic_title,sinta_id,scopus_author_id,orcid_id,google_scholar_id,google_scholar_url,openalex_author_id,openalex_resolution_method,google_scholar_resolution_method,semantic_scholar_id,semantic_scholar_resolution_method
dosen_source.csv:44,Lesnanto Multa Putranto,"Ir., S.T., M.Eng., Ph.D., IPM., SMIEEE",6019163,55837147000,0000-0003-0250-9284,l2Lh43wAAAAJ,https://scholar.google.com/citations?hl=en&user=l2Lh43wAAAAJ,https://openalex.org/A5077406292,orcid,error,3450410,name_search
dosen_source.csv:45,Igi Ardiyanto,"Dr.Eng., Ir., S.T., M.Eng",42540,36069000500,0000-0002-0006-1458,mEBz23UAAAAJ&hl,https://scholar.google.co.id/citations?user=mEBz23UAAAAJ&hl=en,https://openalex.org/A5018898701,orcid,error,2969172,name_search
dosen_source.csv:46,Husni Rois Ali,", S.T., M.Eng., Ph.D., DIC., SMIEEE",6020183,55837520800,,qRuX2hsAAAAJ&hl,https://scholar.google.co.id/citations?user=qRuX2hsAAAAJ&hl=en,https://openalex.org/A5004754788,name_search,error,9345512,name_search
dosen_source.csv:47,Agus Bejo,"Ir., S.T., M.Eng., D.Eng., IPM",5986935,35096014900,,L9QB3JEAAAAJ&hl,https://scholar.google.co.id/citations?user=L9QB3JEAAAAJ&hl=en,https://openalex.org/A5013300216,name_search,error,2281996427,name_search
dosen_source.csv:48,Azkario Rizky Pratama,"Ir., S.T., M.Eng., Ph.D",6644141,55523232300,0000-0001-6158-8483,WUZ-OSsAAAAJ&hl,https://scholar.google.co.id/citations?user=WUZ-OSsAAAAJ&hl=en,https://openalex.org/A5079462995,orcid,error,9363694,name_search
dosen_source.csv:49,Anugerah Galang Persada,"S.T., M.Eng",6019221,16436979700,,3o5vQzgAAAAJ&hl,https://scholar.google.co.id/citations?user=3o5vQzgAAAAJ&hl=en,https://openalex.org/A5063062915,name_search,error,9288901,name_search
dosen_source.csv:50,Ahmad Nasikun,"Dr., S.T., M.Sc",6019279,57203553761,0000-0001-5311-4456,bCrZU4oAAAAJ&hl,https://scholar.google.co.id/citations?user=w0s9NVoAAAAJ&hl=en,https://openalex.org/A5074385039,orcid,error,2079202011,name_search
dosen_source.csv:51,Dyonisius Dony Ariananda,"Dr., S.T., M.Sc",6019230,35145324800,,N3AxTxIAAAAJ&hl,https://scholar.google.co.id/citations?user=N3AxTxIAAAAJ&hl=en,https://openalex.org/A5034189885,name_search,error,2671421,name_search
dosen_source.csv:52,Guntur Dharma Putra,"Dr., Ir., S.T., M.Sc",6198828,57219500421,0000-0001-9832-5388,L_dr0dIAAAAJ,https://scholar.google.co.id/citations?hl=en&user=L_dr0dIAAAAJ,https://openalex.org/A5007007487,orcid,error,134571696,name_search
dosen_source.csv:53,Muhammad Faris,"S.T., M.Sc",6693665,56204474500,0000-0001-6741-5065,wtaeJFEAAAAJ,https://scholar.google.com/citations?user=wtaeJFEAAAAJ&hl=en&oi=ao,https://openalex.org/A5091550312,orcid,error,,error
dosen_source.csv:54,Mochammad Wahyudi,"S.T., M.T",6693663,57200990344,,fqeb8PMAAAAJ,https://scholar.google.com/citations?hl=en&user=fqeb8PMAAAAJ,https://openalex.org/A5089262719,name_search,error,2389861617,name_search
dosen_source.csv:55,Roni Irnawan,"Ir., S.T., M.Sc., Ph.D., SMIEEE",6724608,56380616100,0000-0001-6634-3426,IOo994cAAAAJ,https://scholar.google.co.id/citations?hl=en&user=IOo994cAAAAJ,https://openalex.org/A5074260760,orcid,error,30770991,name_search
