lecturer_row_ref,publication_id
dosen_source.csv:2,1ff5653b-3c87-47a2-a1ce-747335da9c0c
dosen_source.csv:2,16cdb93a-7192-46b3-9187-12e3862958df
dosen_source.csv:2,5571c696-7048-47a5-9e8c-be0991d69aed
dosen_source.csv:2,c7e8dd42-46a2-48d0-9347-dfdaa91e22c4
dosen_source.csv:2,48043db8-2d5a-4808-8e4b-47b31c966a29
dosen_source.csv:2,567ba26a-89aa-4566-af06-a55318665510
dosen_source.csv:2,3bcba417-c9f5-420b-adf9-61d4ffb8e8b8
dosen_source.csv:2,f32f45a9-6888-49b5-9649-7f108eeadf5d
dosen_source.csv:2,8c45b5af-8c3e-4a2e-aa84-77af77ac42a8
dosen_source.csv:2,a6208ecc-f3de-47d0-802a-c53032909e49
dosen_source.csv:2,12bc0e43-001c-43e1-9f85-bceffd977ec9
dosen_source.csv:2,efe936d9-1336-4232-b386-a6d5e4eb7769
dosen_source.csv:2,f3a1d81c-5e58-4ac9-bc9e-a4fa2b07ceab
dosen_source.csv:2,4282e632-269b-4ed7-83a4-b4882703b0a6
dosen_source.csv:3,efdb2eac-e0af-45cf-8634-79b7aff81894
dosen_source.csv:3,8464fa80-209a-48e3-baa8-6045b58266c2
dosen_source.csv:3,a4e6cb68-63a3-42bb-83e3-a1865ea24fb9
dosen_source.csv:3,73bd8922-9307-49ed-9f68-811adb005e80
dosen_source.csv:3,9d361ede-4123-496a-821e-eac768c3c8fe
dosen_source.csv:3,5f5d0d27-4c2e-4f27-91cc-29c32209219c
dosen_source.csv:3,7a041e1f-aa85-4971-a1ba-958b70250e77
dosen_source.csv:3,9e709028-6143-4487-aa9e-a948d33bd9c5
dosen_source.csv:3,68734979-f3f6-4b4a-9bfe-74451d4fc00c
dosen_source.csv:3,5ac329b0-433a-4960-8db8-cb21dd9eb875
dosen_source.csv:3,02e5da02-3c53-4a79-bacf-045e3b50cd51
dosen_source.csv:3,59a91465-ebfa-49fb-892d-de6b3080db42
dosen_source.csv:3,112116c7-2785-40fd-a480-fc9db70d4081
dosen_source.csv:3,2685045a-1ba2-4294-b789-0fd4a4d334ff
dosen_source.csv:3,35e3bfbf-7347-4239-8a58-7f7224793e16
dosen_source.csv:3,3f9b9417-c24c-43ba-ac8f-5ccaaba0cba9
dosen_source.csv:3,67c50f62-3064-4816-8bc2-d65b6c7fcce7
dosen_source.csv:3,b105f5c8-d400-45fe-bbfe-79a223f4f500
dosen_source.csv:3,9bc6a181-b53c-4540-ad7e-9e49ad93a8f1
dosen_source.csv:3,c12bdcc5-f35f-4985-8841-826e76d86d32
dosen_source.csv:3,906ab75e-b829-4c99-8b87-9ec5195b46f7
dosen_source.csv:3,c66b4e2c-24fa-45f6-9ade-21e72e0ef0b3
dosen_source.csv:3,78925d69-f3df-452d-b4c6-987511a4c688
dosen_source.csv:3,bfd2fa15-5c8c-4879-95cc-c737acb2828a
dosen_source.csv:3,9f4fde04-ca68-4a2b-85ad-f4dccab4d9c2
dosen_source.csv:3,6321d3e6-379c-42e4-818b-cae290bff4f1
dosen_source.csv:3,98f27ebd-e3ab-4a6a-8da2-1f2a0d77bd51
dosen_source.csv:3,41bc2823-e069-482c-b236-df76a3d7809a
dosen_source.csv:3,06aedcc6-2be8-4817-82a1-bda4203855b2
